task,features,model,accuracy_mean,accuracy_std
1,color_hist,LogReg,0.20506666666666667,0.0070250345985704
1,color_hist,LinearSVC,0.2064,0.010713231694187024
1,color_hist,RandomForest,0.31813333333333327,0.014644832232262373
1,hog_pca,LogReg,0.43306666666666666,0.023617695813850165
1,hog_pca,LinearSVC,0.42960000000000004,0.02095328136593408
1,hog_pca,RandomForest,0.4106666666666666,0.020586943003326696
1,extra,LogReg,0.4650666666666667,0.00732241611613119
1,extra,LinearSVC,0.44853333333333334,0.00617377968148813
1,extra,RandomForest,0.43146666666666667,0.015991108640602616
1,all_concat,LogReg,0.5336000000000001,0.014444376068214243
1,all_concat,LinearSVC,0.5474666666666665,0.0212598735231944
1,all_concat,RandomForest,0.5210666666666668,0.014832996250851594
2,color_hist,LogReg,0.19655765920826163,0.048700437864117416
2,color_hist,LinearSVC,0.18462421113023525,0.03249010218082008
2,color_hist,RandomForest,0.29968445209409067,0.03571256911085627
2,hog_pca,LogReg,0.19670109007458408,0.01694758140664341
2,hog_pca,LinearSVC,0.17518646012621913,0.03669068094808341
2,hog_pca,RandomForest,0.2088640275387263,0.04160784812029301
2,extra,LogReg,0.2733218588640275,0.035528563870078994
2,extra,LinearSVC,0.2923694779116466,0.03977217662823242
2,extra,RandomForest,0.21095811818703386,0.07523423517099993
2,all_concat,LogReg,0.22068273092369478,0.036540104745938336
2,all_concat,LinearSVC,0.19678714859437751,0.02989603009187116
2,all_concat,RandomForest,0.340562248995984,0.04127566538386923
