task,features,model,accuracy_mean,accuracy_std
1,handcrafted (219d),LogReg,0.5336000000000001,0.014444376068214243
1,handcrafted (219d),LinearSVC,0.5474666666666665,0.0212598735231944
1,handcrafted (219d),RandomForest,0.5210666666666668,0.014832996250851594
1,handcrafted + HSV (233d),LogReg,0.5413333333333333,0.017688665548562143
1,handcrafted + HSV (233d),LinearSVC,0.5530666666666667,0.02127324872019107
1,handcrafted + HSV (233d),RandomForest,0.5208,0.01217939972978052
2,handcrafted (219d),LogReg,0.22068273092369478,0.036540104745938336
2,handcrafted (219d),LinearSVC,0.19678714859437751,0.02989603009187116
2,handcrafted (219d),RandomForest,0.340562248995984,0.04127566538386923
2,handcrafted + HSV (233d),LogReg,0.2470166379804934,0.03605983198514683
2,handcrafted + HSV (233d),LinearSVC,0.21345381526104418,0.019281803515335847
2,handcrafted + HSV (233d),RandomForest,0.31411359724612736,0.05588490643524397
