task,feature_config,model,accuracy,f1_macro
1,cnn_only,LR,0.9152,0.9153022806582788
1,cnn_only,SVM_RBF,0.8797333333333334,0.8831477508570906
1,cnn_only,RF,0.8872,0.8868575739686229
1,cnn_plus_trad,LR,0.9152,0.9153528705738119
1,cnn_plus_trad,SVM_RBF,0.8797333333333334,0.8828573470257017
1,cnn_plus_trad,RF,0.8936,0.8932066345072774
2,cnn_only,LR,0.8441247002398081,0.8438181357606241
2,cnn_only,SVM_RBF,0.7745803357314148,0.7812675372327695
2,cnn_only,RF,0.8633093525179856,0.8631190573647871
2,cnn_plus_trad,LR,0.8537170263788969,0.8535873450303777
2,cnn_plus_trad,SVM_RBF,0.7697841726618705,0.7749149623260746
2,cnn_plus_trad,RF,0.8633093525179856,0.8627524577454626
